Hechos Intradia,,,,,,
,,,,,,
"Razon Social: PLA ADMINISTRADORA INDUSTRIAL, S. DE R.L. DE C.V. (FIBRA TERRA)",,,,,,
Ticker: TERRA,,,,,,
Serie: 13,,,,,,
Fecha Inicial: 8/11/2014,,,,,,
Fecha Final: 8/15/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
8/11/2014,12:23:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,7900,29.87,235973
8/11/2014,12:23:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,300,29.88,8964
8/11/2014,12:23:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,1167,29.86,34846.62
8/11/2014,12:23:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:23:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,439,29.86,13108.54
8/11/2014,12:24:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,29.86,2986
8/11/2014,12:24:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,1200,29.86,35832
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,1200,29.86,35832
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,1200,29.86,35832
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,800,29.86,23888
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
